department,course_title,meeting_type,weekdays,start_time,end_time,class_time,room,building
AFR,Intro to Africana Studies,lecture,MWF,1530,1620,0330 - 0420pm,2187,Chambers Building
AFR,Research Methods,lecture,TR,0940,1055,0940 - 1055am,1086,Chambers Building
AFR,"Race, Policing, and Justice",lecture,TR,1340,1455,0140 - 0255pm,109,Cunningham Fine Arts
AFR,Race and Campus Histories,lecture,TR,1215,1330,1215 - 0130pm,1006,Chambers Building
AFR,"Race, Gender, and Tourism ",lecture,MW,1430,1545,0230 - 0345pm,3209,Chambers Building
AFR,Black Sexual Geographies,lecture,TR,1505,1620,0305 - 0420pm,109,Cunningham Fine Arts
AFR,Approaches to African Art,lecture,MWF,1230,1320,1230 - 0120pm,2187,Chambers Building
AFR,Race and Homelessness,lecture,W,1330,1620,0130 - 0420pm,201,Sloan Music Building
AFR,Empire & American Culture,lecture,MWF,1030,1120,1030 - 1120am,2068,Chambers Building
AFR,W. E. B. Du Bois at Large,lecture,TR,0815,0930,0815 - 0930am,3187,Chambers Building
AFR,Decolonizing Develop in Africa,lecture,T,1340,1620,0140 - 0420pm,1006,Chambers Building
AFR,Politics of Joy,lecture,W,1330,1620,0130 - 0420pm,111,Cunningham Fine Arts
AFR,Africana Capstone,lecture,,,,TBA ,,
AFR,Listening at the Margins,lecture,,,,TBA ,,
AFR,Urban Africa/Popular Culture,lecture,TR,1340,1455,0140 - 0255pm,HANCE,Chambers Building
AFR,Place & Nation in Mod Lat Amer,lecture,MWF,1030,1120,1030 - 1120am,3106,Chambers Building
AFR,Age of Revolution: US in 1960s,lecture,W,1330,1620,0130 - 0420pm,108,Visual Arts Center
AFR,Afro-Brazilian History & Cultu,lecture,TR,1505,1620,0305 - 0420pm,1003,Chambers Building
ANT,Maroon Societies,lecture,TR,1215,1330,1215 - 0130pm,2068,Chambers Building
ANT,Urban Africa/Popular Culture,lecture,TR,1340,1455,0140 - 0255pm,HANCE,Chambers Building
ANT,"Science, Policy, and Society",lecture,MWF,1030,1120,1030 - 1120am,109,Cunningham Fine Arts
ANT,Racial Justice Seminar ,lecture,TR,0940,1055,0940 - 1055am,153,Dana Science Building
ANT,Bioarchaeology,lecture,MWF,0930,1020,0930 - 1020am,2198,Chambers Building
ANT,Spec Topics in ANT: Folklore,lecture,MWF,0930,1020,0930 - 1020am,3155,Chambers Building
ANT,Religion in Latin America,lecture,MW,1430,1545,0230 - 0345pm,1096,Chambers Building
ANT,Decolonizing Anthro Theory,lecture,TR,1505,1620,0305 - 0420pm,3106,Chambers Building
ANT,Methods in Forensic Anthro,lecture,F,1330,1620,0130 - 0420pm,2196,Chambers Building
ANT,Artifacts and Archives,lecture,W,1330,1620,0130 - 0420pm,B022,Chambers Building
ANT,Housing & Gentrification,lecture,,,,TBA ,,
ANT,Honors Thesis,lecture,,,,TBA ,,
ARB,Elementary Arabic II,lecture,MWF,1030,1120,1030 - 1120am,3234,Chambers Building
ARB,Intermediate Arabic II,lecture,MWF,0930,1020,0930 - 1020am,3234,Chambers Building
ARB,Politics Through NA Media,lecture,,,,TBA ,,
ARB,Arabic Media & Politics,lecture,,,,TBA ,,
ARB,Arabic and Education,lecture,,,,TBA ,,
ARB, Politics Through Satire,lecture,,,,TBA ,,
ARB,Arab Diasporic Politics,lecture,,,,TBA ,,
ARB,Accelerated Persian,lecture,,,,TBA ,,
ARB,Arabic Economics,lecture,,,,TBA ,,
ARB,Honor & Shame in Arab Society,lecture,,,,TBA ,,
ARB,"Mid East,610-1453:Formtn Islam",lecture,MWF,1130,1220,1130 - 1220pm,3106,Chambers Building
ARB,Theory & Prac Literature,lecture,W,1330,1620,0130 - 0420pm,3187,Chambers Building
ARB,Political Islam,lecture,T,1340,1620,0140 - 0420pm,1096,Chambers Building
ART,Approaches to African Art,lecture,MWF,1230,1320,1230 - 0120pm,2187,Chambers Building
ART,Basic Drawing,lecture,M,1330,1620,0130 - 0420pm,203,Visual Arts Center
ART,Basic Drawing,lecture,M,1330,1620,0130 - 0420pm,203,Visual Arts Center
ART,Basic Drawing,lecture,TR,0940,1055,0940 - 1055am,203,Visual Arts Center
ART,Basic Drawing,lecture,TR,0940,1055,0940 - 1055am,203,Visual Arts Center
ART,Asian Art After 1000,lecture,TR,1215,1330,1215 - 0130pm,117,Visual Arts Center
ART,Introduction to Digital Art,lecture,TR,0940,1055,0940 - 1055am,212,Visual Arts Center
ART,Introduction to Digital Art,lecture,TR,0940,1055,0940 - 1055am,212,Visual Arts Center
ART,Advanced Painting,lecture,M,1330,1620,0130 - 0420pm,214,Visual Arts Center
ART,Advanced Printmaking,lecture,TR,1215,1330,1215 - 0130pm,104,Visual Arts Center
ART,Advanced Digital Art,lecture,TR,1215,1330,1215 - 0130pm,212,Visual Arts Center
ART,The Arts Along the Silk Roads,lecture,MW,1430,1545,0230 - 0345pm,117,Visual Arts Center
ART,From Agra to Istanbul,lecture,TR,1340,1455,0140 - 0255pm,117,Visual Arts Center
ART,Critical Theory for Vis. Stud,lecture,MWF,0830,0920,0830 - 0920am,108,Visual Arts Center
ART,Topics in Sculpture,lecture,W,1330,1620,0130 - 0420pm,106,Visual Arts Center
ART,Topics in Sculpture,lecture,T,1340,1620,0140 - 0420pm,106,Visual Arts Center
ART,Buying and Collecting Art,lecture,TR,1505,1620,0305 - 0420pm,108,Visual Arts Center
ART,Independent Study,lecture,,,,TBA ,,
ART,20th Century Art,lecture,,,,TBA ,,
ART,Sasanian Art,lecture,,,,TBA ,,
ART,Material Study,lecture,,,,TBA ,,
ART,"Water, Ice, Paint",lecture,,,,TBA ,,
ART,Independent Study,lecture,,,,TBA ,,
ART,Botanical Art in 21st Century,lecture,,,,TBA ,,
ART,Senior Exhibition,lecture,,,,TBA ,,
